source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-27 13:35:35,"2 new members, Mr Leon Perera and Mr Gerald Giam, joined party chief Pritam Singh, chairman Sylvia Lim and Mr Faisal Manap during a walkabout in Bedok. Follow full #GE2020 coverage here: https://str.sg/JW74",780,694,11,56,1,,4,,10157162690147115,/story.php?story_fbid=10157162690147115&id=129011692114
The Straits Times,,2020-06-27 13:14:49,"India has 4th biggest Covid-19 outbreak in the world, behind only the US, Brazil and Russia.",440,279,3,,51,105,,,10157162541777115,/story.php?story_fbid=10157162541777115&id=129011692114
The Straits Times,,2020-06-27 12:41:06,The Reform Party's campaign slogan and party manifesto for #GE2020 will focus on rebuilding Singapore following the economic impact of Covid-19. Follow full #GE2020 coverage here: https://str.sg/JW74,182,159,21,,1,,,,10157161841267115,/story.php?story_fbid=10157161841267115&id=129011692114
The Straits Times,,2020-06-27 12:27:10,"UPDATE: Ivan Lim has withdrawn from contesting the general election. Full story: https://str.sg/JmTQ ""I have emphasised that integrity and character are very important in our candidates. And if there are any complaints, it should be properly clarified,"" said DPM Heng Swee Keat.",967,545,265,9,16,5,126,,10157161389687115,/story.php?story_fbid=10157161389687115&id=129011692114
The Straits Times,,2020-06-27 11:52:03,"PAP is fielding 27 new candidates, more than in any previous election. There are 10 women among them, double the number in GE2015. Follow full #GE2020 coverage here: https://str.sg/JW74",265,191,40,6,2,1,24,,10157160289957115,/story.php?story_fbid=10157160289957115&id=129011692114
The Straits Times,,2020-06-27 11:05:24,"""We are in the middle of the most severe crisis the world has faced for many decades. The immediate business of running Singapore is anything but routine,"" says PM Lee. Follow full #GE2020 coverage here: https://str.sg/JW74",902,694,92,33,7,3,58,,10157159424392115,/story.php?story_fbid=10157159424392115&id=129011692114
The Straits Times,,2020-06-27 10:00:29,"Mosques, temples and other religious organisations opened their doors to larger groups of worshippers on Friday for the first time in at least 2 months.",385,344,1,21,12,2,,,10157159312437115,/story.php?story_fbid=10157159312437115&id=129011692114
The Straits Times,,2020-06-27 09:41:17,Residents are advised to keep a 1m distance from candidates or when queueing for campaigning items. Follow full #GE2020 coverage here: https://str.sg/JW74,303,269,22,,7,,1,,10157159284317115,/story.php?story_fbid=10157159284317115&id=129011692114
The Straits Times,,2020-06-27 09:15:31,"The curbs will apply to Chinese officials the US deems responsible for undermining Hong Kong’s autonomy, said Secretary of State Mike Pompeo.",173,100,57,3,6,1,5,,10157159242777115,/story.php?story_fbid=10157159242777115&id=129011692114
The Straits Times,,2020-06-27 08:50:27,"Although restaurants have been allowed to operate at full capacity and restrictions on entertainment and leisure activities will be easing, shoppers and business owners still remain wary.",66,60,2,,3,,1,,10157159191647115,/story.php?story_fbid=10157159191647115&id=129011692114
The Straits Times,,2020-06-27 08:30:49,Traces of the coronavirus in a sample of Barcelona waste water were found 9 months before Covid-19 was identified in China.,1.1K,701,81,4,356,12,4,,10157159152642115,/story.php?story_fbid=10157159152642115&id=129011692114
The Straits Times,,2020-06-27 08:10:43,"Holland Village was unusually subdued on Friday evening, following initial episodes of over-exuberance at the start of phase 2 of Singapore's reopening.",302,261,37,2,2,,,,10157159112512115,/story.php?story_fbid=10157159112512115&id=129011692114
The Straits Times,,2020-06-27 07:53:49,The judge said the defence had successfully raised a number of inconsistencies in the woman's actions and her testimony.,52,37,5,,8,,2,,10157159072697115,/story.php?story_fbid=10157159072697115&id=129011692114
The Straits Times,,2020-06-27 07:30:56,Researchers here are less hopeful than a top US expert who forecasted that a Covid-19 vaccine will be ready by the end of this year.,269,206,11,1,14,36,,,10157159029152115,/story.php?story_fbid=10157159029152115&id=129011692114
The Straits Times,,2020-06-26 23:40:36,At the heart of the dispute is whether the PSP had agreed to give up contesting Yio Chu Kang SMC in return for RP making way in West Coast GRC.,177,106,59,1,9,,1,,10157158114702115,/story.php?story_fbid=10157158114702115&id=129011692114
The Straits Times,,2020-06-26 23:25:38,"One new Covid-19 community case met a large group of people for sports and social activities, MOH to investigate.",1.3K,756,32,3,221,116,259,,10157158083117115,/story.php?story_fbid=10157158083117115&id=129011692114
The Straits Times,,2020-06-26 23:11:24,"He spent almost 5 months in Tan Tock Seng Hospital, half of which was in the ICU. On Friday, Mr Raju Sarker walked out,  a father given a new lease of life.",558,426,,76,2,,,,10157158058572115,/story.php?story_fbid=10157158058572115&id=129011692114
The Straits Times,,2020-06-26 22:27:54,"""No doubt the numbers are small, but at least we are allowed to do it and it is a small step forward,"" said the executive chairman of Al-Istighfar Mosque in Pasir Ris.",173,147,9,12,2,,1,,10157157941777115,/story.php?story_fbid=10157157941777115&id=129011692114
The Straits Times,,2020-06-26 21:45:52,An eyewitness said she had seen people covered in blood and armed police at the scene.,79,53,1,,11,12,,,10157157853412115,/story.php?story_fbid=10157157853412115&id=129011692114
The Straits Times,,2020-06-26 21:29:27,"Mr Genichi Mitsuhashi now has a master's in ninja studies, but the real question is can he win in Ninja Warrior?",428,302,78,11,37,,,,10157157827402115,/story.php?story_fbid=10157157827402115&id=129011692114
The Straits Times,,2020-06-26 21:13:01,"The teenager, who has autistic spectrum disorder and a personality disorder, was told by the judge that he ""may never be released"".",118,65,1,,17,19,15,,10157157793192115,/story.php?story_fbid=10157157793192115&id=129011692114
The Straits Times,,2020-06-26 20:55:27,"Sherly Muliawan faces 79 charges linked to luxury goods worth more than $6 million. Lam Hon Lan faces 43 counts involving more than $500,000 worth of luxury goods.",296,222,18,2,50,3,1,,10157157762577115,/story.php?story_fbid=10157157762577115&id=129011692114
The Straits Times,,2020-06-26 20:39:03,"Srihari Mahendran took up an offer from another man to engage in sexual trysts with the latter's girlfriend on 2 occasions, without her knowledge and consent.",75,40,5,1,2,2,25,,10157157729427115,/story.php?story_fbid=10157157729427115&id=129011692114
The Straits Times,,2020-06-26 20:20:35,"Many of the dolphins drowned in the fishing nets of trawlers, with post-mortems mostly showing fractures, broken tails and flippers and deep cuts caused by the nets.",295,66,,1,5,169,54,,10157157703317115,/story.php?story_fbid=10157157703317115&id=129011692114
The Straits Times,,2020-06-26 20:04:59,"Over the span of 19 years, Mr Khaw Boon Wan earned a reputation as Mr Fix-it, due his knack of solving hot button issues - from housing woes to public transport reliability.",1.1K,916,93,70,6,13,3,,10157157676817115,/story.php?story_fbid=10157157676817115&id=129011692114
The Straits Times,,2020-06-26 19:44:48,"Lazada has struggled to fend off rivals like Shopee, with sources saying its middling performance was a factor in the new appointment.",165,143,9,2,5,5,1,,10157157647347115,/story.php?story_fbid=10157157647347115&id=129011692114
The Straits Times,,2020-06-26 19:27:59,"Police officers also seized more than $22,300 worth of goods, including contraband cigarettes and illegal medicines, during the operation.",111,96,7,3,4,1,,,10157157627632115,/story.php?story_fbid=10157157627632115&id=129011692114
The Straits Times,,2020-06-26 19:10:48,Worried that people can't hear you speak properly with a face mask on? There's an app (and smart mask) for that.,333,275,6,12,39,,,,10157157606457115,/story.php?story_fbid=10157157606457115&id=129011692114
The Straits Times,,2020-06-26 18:50:16,"Beijing has adopted a so-called ""1+3"" model to prevent false negatives, where patients at the fever clinic will be subjected to a nucleic acid test and 3 additional tests to reduce the risk of a missed diagnosis.",110,93,2,4,10,1,,,10157157539342115,/story.php?story_fbid=10157157539342115&id=129011692114
"The Straits Times,Kayla Low 罗舒玉,Hin Leong Ong,SG Opposition,The Online Citizen Asia",,2020-06-26 18:18:29,"""How Asean countries respond to this (Covid-19) crisis will decide whether Asean will forge ahead of the competition or fall behind,"" said PM Lee during the virtual summit.I have always admired how Prof. Koh has represented Singapore and speaks his mind with heart and intellect.  This video is an excerpt speech by Professor Tommy...https://www.facebook.com/theonlinecitizen/videos/10152560065256383/?vh=eVideo of the 76 year old lady who begged MP Hri Kumar in the CPF forum this morning to help her get her CPF money back to settle her afterlife arrangements as...",318,282,12,17,4,,,,10157157500857115,/story.php?story_fbid=10157157500857115&id=129011692114
The Straits Times,,2020-06-26 17:41:03,"The district judge had earlier called for a report to assess Kasturi Govindasamy Retnamsamy’s suitability for the order, which allows offenders to undergo treatment for their mental condition in lieu of jail time.",301,192,83,2,13,6,5,,10157157451237115,/story.php?story_fbid=10157157451237115&id=129011692114
The Straits Times,,2020-06-26 17:34:07,"Felicia Lee Ziying, who was drunk, taunted the officers when she was arrested, saying that she was ""oh, so scared"".",413,238,129,2,13,5,25,,10157157439447115,/story.php?story_fbid=10157157439447115&id=129011692114
The Straits Times,,2020-06-26 17:16:11,Supermarket chains Woolworths and Coles said they were once again limiting purchases of toilet paper and paper towels to 1 or 2 packs per person.,402,212,125,1,51,9,2,,10157157407232115,/story.php?story_fbid=10157157407232115&id=129011692114
,,2020-06-26 17:04:06,"THE BIG STORY: Transport Minister Khaw Boon Wan retires | PAP, opposition parties unveil more candidates | Liverpool crowned Premier League champions after 30 years #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19 #liverpool",190,139,4,37,3,,1,,2607268296214594,/story.php?story_fbid=2607268296214594&id=129011692114
