source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-21 15:21:42,"🔴 JUST IN: Singapore confirms 262 new Covid-19 cases. There are 9 cases in the community, 3 involving Singaporeans or PRs.",1.8K,1.3K,23,8,149,283,16,,10157143283052115,/story.php?story_fbid=10157143283052115&id=129011692114
The Straits Times,,2020-06-21 12:35:00,"Coronavirus analyst Tomas Pueyo's ""hammer and dance"" strategy to tackle the outbreak has brought him millions of readers from around the world.  He shares 2 big global challenges ahead in the fight against Covid-19: https://str.sg/JW73",74,70,1,3,,,,,10157142968547115,/story.php?story_fbid=10157142968547115&id=129011692114
The Straits Times,,2020-06-21 11:56:13,"How the Covid-19 pandemic has been handled by the Government, including the 4G political leaders, will be in the spotlight.",215,188,17,,5,1,2,,10157142971557115,/story.php?story_fbid=10157142971557115&id=129011692114
The Straits Times,,2020-06-20 20:31:09,"The platform will allow Singaporeans to share their experiences during the Covid-19 pandemic, which will help the Government improve conditions in society.",169,143,16,3,2,1,1,,10157141184877115,/story.php?story_fbid=10157141184877115&id=129011692114
The Straits Times,,2020-06-20 19:56:49,"The Government will provide Singaporeans with immediate support, as well as invest to give everyone a springboard to bounce back from the Covid-19 pandemic even stronger, said DPM Heng.",527,445,48,24,1,1,6,,10157141120552115,/story.php?story_fbid=10157141120552115&id=129011692114
,,2020-06-20 19:17:32,THE BIG STORY: Emerging Stronger Together – Deputy Prime Minister Heng Swee Keat #thebigstory #stbigstory #coronavirus #covid19 #sgunited #hengsweekeat,693,484,21,127,4,3,37,,3152177761526826,/story.php?story_fbid=3152177761526826&id=129011692114
The Straits Times,,2020-06-20 17:30:44,"Some 1,500 holy sites in Saudi Arabia are preparing to welcome visitors, despite a rise in new Covid-19 cases in recent days.",504,399,2,43,46,4,1,,10157140890767115,/story.php?story_fbid=10157140890767115&id=129011692114
The Straits Times,,2020-06-20 16:41:07,Tighter restrictions on home and public gatherings will be reinstated after the state reported a double digit rise in Covid-19 cases for a 4th straight day.,261,181,2,2,39,35,,,10157140810852115,/story.php?story_fbid=10157140810852115&id=129011692114
The Straits Times,,2020-06-20 15:36:21,"From rojak to omakase, these restaurants found themselves as busy as before the circuit breaker.",172,160,4,1,1,,,,10157140734212115,/story.php?story_fbid=10157140734212115&id=129011692114
The Straits Times,,2020-06-20 15:12:08,"🔴 JUST IN: There are 2 Covid-19 cases in the community, none of them are Singaporeans or permanent residents.",1.4K,1.2K,9,4,49,135,5,,10157140706467115,/story.php?story_fbid=10157140706467115&id=129011692114
